Class,Sensitivity,Specificity
melanocytic benign - banal compound,0.8372093023255814,0.23087369850611136
melanocytic benign - banal dermal,0.07534246575342465,0.9974215728405672
melanocytic benign - banal junctional,0.011204481792717087,0.9957426679280984
melanocytic benign - dysplastic compound,0.13513513513513514,0.9698513800424629
melanocytic benign - dysplastic junctional,0.0,1.0
melanocytic benign - dysplastic recurrent,0.0,1.0
melanocytic benign - lentigo,0.05263157894736842,0.9570903146710258
melanocytic malignant - melanoma,0.17073170731707318,0.9848993288590604
nonmelanocytic benign - fibro_histiocytic,0.0,1.0
nonmelanocytic benign - keratinocytic,0.14634146341463414,0.969270166453265
nonmelanocytic benign - vascular,0.8771929824561403,0.9497716894977168
nonmelanocytic indeterminate - keratinocytic,0.09090909090909091,0.9987780040733197
nonmelanocytic malignant - fibro_histiocytic,0.0,1.0
nonmelanocytic malignant - keratinocytic,0.08552631578947369,0.9995682210708118
nonmelanocytic malignant - vascular,0.0,1.0
