Class,Sensitivity,Specificity
acb,0.0,1.0
acd,0.0,1.0
ajb,0.011627906976744186,0.9995822890559732
ajd,0.0,1.0
ak,0.09090909090909091,0.9987834549878345
alm,0.0,1.0
angk,0.0,0.9951397326852977
anm,0.0,1.0
bcc,0.023529411764705882,0.9987458193979933
bd,0.0,1.0
bdb,0.21875,0.998365345320801
cb,0.8827586206896552,0.233704974271012
ccb,0.0,1.0
ccd,0.0,1.0
cd,0.12745098039215685,0.9692631578947368
ch,0.3333333333333333,1.0
cjb,0.0,1.0
db,0.017543859649122806,0.9983079526226735
df,0.08333333333333333,0.997132322818517
dfsp,0.0,1.0
ha,0.0,0.9983633387888707
isl,0.0,0.997979797979798
jb,0.0,0.9950782997762864
jd,0.0,1.0
ks,0.0,1.0
la,0.0,0.9995944849959448
lk,0.0,0.9983838383838384
lm,0.0,1.0
lmm,0.0,1.0
ls,0.0,0.9995954692556634
mcb,0.0,0.9995923359152059
mel,0.1935483870967742,0.982011447260834
mpd,0.0,1.0
pg,1.0,0.9422222222222222
rd,0.0,1.0
sa,0.6666666666666666,0.9971705739692805
scc,0.07407407407407407,0.9983498349834984
sk,0.1487603305785124,0.9711375212224108
sl,0.08333333333333333,0.9598377281947261
srjd,0.0,1.0
